,,,,,,,Detailed Daily MTM - Extract,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade date,19 Jul 17,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement,24 Jul 17,,,,,,,,,,,,,,,,,,,,,,,,,
Bond Code,ISIN Code,Maturity ,Coupon,Companion Bond,BP Spread,MTM,All in price,Clean Price,Accrued Interest,Year High Yield,Year Low Yield,Return (YTD),Duration,Modified Duration,Delta,Rand per Basis Point,Convexity,Yield Volatility,Yield / Price Indicator,Last Trade Date,Last MTM Change Date,Index Ratio,Base CPI,Reference CPI,MTM Process Methodology,MTM Change
ACL097,ZAG000081845,20-Dec-25,9.967,JIBAR,265,0.000,100.9367863,100.0083534,0.928432877,100,100,0,,0,,,,,Price,30-Dec-15,17-Jul-17,,,,Price Traded Methodology,
ACL098,ZAG000082074,20-Dec-25,9.767,JIBAR,245,0.000,100.9184779,100.0086751,0.90980274,100,100,0,,0,,,,,Price,03-Oct-12,17-Jul-17,,,,Price Traded Methodology,
ACL100,ZAG000082512,20-Dec-17,9.317,JIBAR,200,0.000,100.87754,100.0096551,0.867884932,100,100,0,,0,,,,,Price,25-Oct-11,17-Jul-17,,,,Price Traded Methodology,
ACL104,ZAG000082975,20-Dec-19,10,R207,160,9.110,102.8221,101.89059,0.93151,9.935,8.91,-0.08,,0,,,,,Price,18-Jan-13,29-Jan-17,,,,Price Traded Methodology,
ACL127,ZAG000087289,20-Sep-21,2.83,,,0.000,206.4920134,204.5463796,1.9456338,0,0,0,,0,,,,,Price,20-Jul-11,17-Jul-17,,,,Issuer Valuated,
ACL128,ZAG000087297,20-Sep-21,2.94,,,0.000,206.5509342,204.5463796,2.004554521,0,0,0,,0,,,,,Price,10-Dec-15,17-Jul-17,,,,Issuer Valuated,
ACL129,ZAG000087420,20-Sep-21,9.517,JIBAR,220,0.000,100.8957644,100.0092493,0.886515068,100,100,0,,0,,,,,Price,03-Feb-15,17-Jul-17,,,,Price Traded Methodology,
ACL139,ZAG000089384,30-Jul-17,9.867,JIBAR,250,0.000,100.61558,99.96846,0.64712,0,0,0,,0,,,,,Price,26-Sep-11,21-Jun-12,,,,Price Traded Methodology,
ACL141,ZAG000089467,30-Jul-17,9.917,JIBAR,229.5,0.000,99.81553,100.00571,-0.19018,0,0,0,,0,,,,,Price,29-Sep-11,26-Oct-11,,,,Price Traded Methodology,
ACL145,ZAG000091216,20-Dec-21,9.547,JIBAR,223,0.000,100.8985369,100.0092273,0.889309589,100,100,0,,0,,,,,Price,07-Dec-11,17-Jul-17,,,,Price Traded Methodology,
ACL161,ZAG000093626,20-Mar-22,10.23,,,10.230,103.47504,99.94359,3.53145,10.23,10.23,0,3.6933900,3.513666004,-3.63576733,363.57673297,16.0421133,,Price,09-Mar-12,17-Jul-17,,,,Illiquid Methodology,
ACL167,ZAG000094582,20-Jun-19,9.8,R204,213,9.535,101.34555,100.43267,0.91288,10.095,9.4,-0.05,1.7716412,1.691021765,-1.71377523,171.37752318,3.7954346,,Price,19-Nov-15,17-Jul-17,,,,Illiquid Methodology,
